page,text
60,"```html
<p style=""text-align:center""><strong>CONTENTS.</strong></p>

<p style=""text-align:right"">Page</p>
<p><strong>Preface</strong> ................................................................. 1</p>

<p style=""text-align:center""><strong>Book I.</strong></p>
<p><strong>Of the Knowledge of God</strong>.................................................. 9</p>

<p style=""text-align:center""><strong>Chap. I.</strong></p>
<p>Of the Christian Doctrine, and the Number of its Divisions ........................ <em>ibid.</em></p>

<p style=""text-align:center""><strong>Chap. II.</strong></p>
<p>Of God ........................................................................ 13</p>

<p style=""text-align:center""><strong>Chap. III.</strong></p>
<p>Of the Divine Decrees .......................................................... 30</p>

<p style=""text-align:center""><strong>Chap. IV.</strong></p>
<p>Of Predestination .............................................................. 44</p>

<p style=""text-align:center""><strong>Chap. V.</strong></p>
<p>Of the Son of God ............................................................. 81</p>

<p style=""text-align:center""><strong>Chap. VI.</strong></p>
<p>Of the Holy Spirit............................................................. 153</p>

<p style=""text-align:center""><strong>Chap. VII.</strong></p>
<p>Of the Creation ............................................................... 172</p>

<p style=""text-align:center""><strong>Chap. VIII.</strong></p>
<p>Of the Providence of God, or of his General Government of the Universe .......... 199</p>

<p style=""text-align:center""><strong>Chap. IX.</strong></p>
<p>Of the Special Government of Angels........................................... 217</p>

<p style=""text-align:center""><strong>Chap. X.</strong></p>
<p>Of the Special Government of Man before the Fall; including the Institutions of the Sabbath and of Marriage .................................................. 226</p>
```"
61,"```html
<p>xl &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; CONTENTS.</p>

<p><b>Chap. XI.</b> <span style=""float:right"">Page</span><br>
Of the Fall of our first Parents, and of Sin ......................................... 260</p>

<p><b>Chap. XII.</b><br>
Of the Punishment of Sin .............................................. ............... 272</p>

<p><b>Chap. XIII.</b><br>
Of the Death of the Body ........................................................ 278</p>

<p><b>Chap. XIV.</b><br>
Of Man's Restoration, and of Christ as Redeemer .................................... 294</p>

<p><b>Chap. XV.</b><br>
Of the Functions of the Mediator, and of his threefold Office ........................ 308</p>

<p><b>Chap. XVI.</b><br>
Of the Ministry of Redemption .................................................... 316</p>

<p><b>Chap. XVII.</b><br>
Of Man's Renovation, including his Calling .......................................... 332</p>

<p><b>Chap. XVIII.</b><br>
Of Regeneration ................................................................. 342</p>

<p><b>Chap. XIX.</b><br>
Of Repentance ................................................................... 347</p>

<p><b>Chap. XX.</b><br>
Of Saving Faith ................................................................. 353</p>

<p><b>Chap. XXI.</b><br>
Of being planted in Christ, and its effects .......................................... 360</p>

<p><b>Chap. XXII.</b><br>
Of Justification ................................................................. 369</p>

<p><b>Chap. XXIII.</b><br>
Of Adoption ...................................................................., 379</p>

<p><b>Chap XXIV.</b><br>
Of Union and Fellowship with Christ and His Members; wherein is considered the Mystical or Invisible Church .................................................. 332</p>

<p><b>Chap. XXV.</b><br>
Of Imperfect Glorification; wherein are considered the Doctrines of Assurance and Final Perseverance ................................................................ 386</p>

<p><b>Chap. XXVI.</b><br>
Of the Manifestation of the Covenant of Grace, including the Law of God ........... 400</p>
```"
62,"```html
<p><strong>CONTENTS.</strong> &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&"
63,"```html
<p>xlii <strong>CONTENTS.</strong></p>

<p><strong>Chap. VII.</strong><br>
Of the Time for Divine Worship; wherein are considered the Sabbath, Lord's Day, and Festivals ................................................................ 600</p>

<p><strong>Chap. VIII.</strong><br>
Of our Duties towards Man, and the general Virtues belonging thereto .............. 613</p>

<p><strong>Chap. IX.</strong><br>
Of the first Class of Special Virtues connected with the Duty of Man towards himself .. 621</p>

<p><strong>Chap. X.</strong><br>
Of the second Class of Virtues connected with the Duty of Man towards himself ..... 636</p>

<p><strong>Chap. XI.</strong><br>
Of the Duties of Man towards his Neighbour, and the Virtues comprehended under those Duties ................................................................ 639</p>

<p><strong>Chap. XII.</strong><br>
Of the Special Virtues or Duties which regard our Neighbour ...................... 650</p>

<p><strong>Chap. XIII.</strong><br>
Of the second Class of Special Duties towards our Neighbour ...................... 655</p>

<p><strong>Chap. XIV.</strong><br>
The second Class of Special Duties towards our Neighbour continued .............. 672</p>

<p><strong>Chap. XV.</strong><br>
Of the Reciprocal Duties of Man towards his Neighbour; and specially of Private Duties 680</p>

<p><strong>Chap. XVI.</strong><br>
Of the remaining Class of Private Duties .......................................... 691</p>

<p><strong>Chap. XVII.</strong><br>
Of Public Duties towards our Neighbour .......................................... 696</p>
```"
64,"<h1>JOHN MILTON,</h1>

<p>TO ALL THE CHURCHES OF CHRIST,</p>

<p>AND TO ALL</p>

<p>WHO PROFESS THE CHRISTIAN FAITH THROUGHOUT THE WORLD,</p>

<p>PEACE, AND THE RECOGNITION OF THE TRUTH,</p>

<p>AND ETERNAL SALVATION</p>

<p>IN GOD THE FATHER, AND IN OUR LORD JESUS CHRIST.</p>

<hr>

<p>S<small>INCE</small> the commencement of the last century, when religion began to be restored from the corruptions of more than thirteen hundred years to something of its original purity, many treatises of theology have been published, conducted according to sounder principles, wherein the chief heads of Christian doctrine are set forth sometimes briefly, sometimes in a more enlarged and methodical order. I think myself obliged, therefore, to declare in the first instance why, if any works have already appeared as perfect as the nature of the subject will admit, I have not remained contented with them—or, if all my predecessors have treated it unsuccessfully, why their failure has not deterred me from attempting an undertaking of a similar kind.</p>

<p>&nbsp;&nbsp;&nbsp;&nbsp;If I were to say that I had devoted myself to the study of the Christian religion because nothing else can so effectually rescue the lives and minds of men from those two detestable curses, slavery</p>"
65,"<h1>2</h1>

<p>and superstition,<sup>1</sup> I should seem to have acted rather from a regard to my highest earthly comforts, than from a religious motive.</p>

<p>But since it is only to the individual faith of each that the Deity has opened the way of eternal salvation, and as he requires that he who would be saved should have a personal belief of his own,<sup>2</sup> I resolved not to repose on the faith or judgement of others in matters relating to God; but on the one hand, having taken the grounds of my faith from divine revelation alone, and on the other, having neglected nothing which depended on my own industry, I thought fit to scrutinize and ascertain for myself the several points of my religious belief, by the most careful perusal and meditation of the Holy Scriptures themselves.</p>

<p>If therefore I mention what has proved beneficial in my own practice, it is in the hope that others, who have a similar wish of improving themselves, may be thereby invited to pursue the same method. I entered upon an assiduous course of study in my youth, beginning with the books of the Old and New Testament in their original languages, and going diligently through a few of the shorter systems of divines, in imitation of whom I was in the habit of classing under certain heads whatever passages of Scripture occurred</p>"
66,"<p>for extraction, to be made use of hereafter as occasion might require. At length I resorted with increased confidence to some of the more copious theological treatises, and to the examination of the arguments advanced by the conflicting parties respecting certain disputed points of faith. But, to speak the truth with freedom as well as candour, I was concerned to discover in many instances adverse reasonings either evaded by wretched shifts, or attempted to be refuted, rather speciously than with solidity, by an affected display of formal sophisms, or by a constant recourse to the quibbles of the grammarians; while what was most pertinaciously espoused as the true doctrine, seemed often defended, with more vehemence than strength of argu&#x2011;ment, by misconstructions of Scripture, or by the hasty deduction of erroneous inferences. Owing to these causes, the truth was sometimes as strenuously opposed as if it had been an error or a heresy&#8212;while errors and heresies were substituted for the truth, and valued rather from deference to custom and the spirit of party than from the authority of Scripture.</p>

<p>&nbsp;&nbsp;&nbsp;&nbsp;According to my judgement, therefore, neither my creed nor my hope of salvation could be safely trusted to such guides; and yet it appeared highly requisite to possess some methodical tractate of Christian doctrine, or at least to attempt such a disquisition as might be useful in establishing my faith or assisting my memory. I deemed it therefore safest and most advisable to compile for myself, by my own labour and study, some original treatise which should be always at hand, derived solely from the word of God itself, and executed with all possible fidelity, seeing that I could have no wish to practise any imposition on myself in such a matter.</p>"
67,BadRequestError
68,BadRequestError
69,"<p>I shall be found to have advanced, whether new or old, of how much consequence to the Christian religion is the liberty not only of winnowing and sifting every doctrine,<sup>4</sup> but also of thinking and even writing respecting it, according to our individual faith and persuasion;<sup>5</sup> an inference which will be stronger in proportion to the weight and importance of those opinions, or rather in proportion to the authority of Scripture, on the abundant testimony of which they rest. Without this liberty there is neither religion nor gospel—force alone prevails,—by which it is disgraceful for the Christian religion to be supported. Without this liberty we are still enslaved, not indeed, as formerly, under the divine law, but, what is worst of all, under the law of man, or to speak more truly, under a barbarous tyranny. But I do not expect from candid and judicious readers a conduct so unworthy of them,—that like certain unjust and foolish men, they should stamp with the invidious name of heretic or heresy whatever appears to them to differ from the received opinions, without trying the doctrine by a comparison with Scripture testimonies.<sup>6</sup> According</p>"
