group	tcpID & section_idx
Milton - DDC	DDC_FINAL 1
Milton - DDC	DDC_FINAL 3
Milton - DDC	DDC_FINAL 5
Milton - DDC	DDC_FINAL 6
Milton - DDC	DDC_FINAL 7
Milton - DDC	DDC_FINAL 7 | 160
Milton - DDC	DDC_FINAL 7 | 176
Milton - DDC	DDC_FINAL 8
Milton - DDC	DDC_FINAL 8 | 216
Milton - DDC	DDC_FINAL 8 | 236
Milton - DDC	DDC_FINAL 8 | 249
Milton - DDC	DDC_FINAL 8 | 259
Milton - DDC	DDC_FINAL 8 | 270
Milton - DDC	DDC_FINAL 8 | 292
Milton - DDC	DDC_FINAL 9
Milton - DDC	DDC_FINAL 10
Milton - DDC	DDC_FINAL 10 | 349
Milton - DDC	DDC_FINAL 11
Milton - DDC	DDC_FINAL 12
Milton - DDC	DDC_FINAL 13
Milton - DDC	DDC_FINAL 13 | 453
Milton - DDC	DDC_FINAL 13 | 476
Milton - DDC	DDC_FINAL 14
Milton - DDC	DDC_FINAL 15
Milton - DDC	DDC_FINAL 16
Milton - DDC	DDC_FINAL 17
Milton - DDC	DDC_FINAL 18
Milton - DDC	DDC_FINAL 19
Milton - DDC	DDC_FINAL 20
Milton - DDC	DDC_FINAL 21
Milton - DDC	DDC_FINAL 22
Milton - DDC	DDC_FINAL 23
Milton - DDC	DDC_FINAL 24
Milton - DDC	DDC_FINAL 25
Milton - DDC	DDC_FINAL 26
Milton - DDC	DDC_FINAL 27
Milton - DDC	DDC_FINAL 28
Milton - DDC	DDC_FINAL 29
Milton - DDC	DDC_FINAL 30
Milton - DDC	DDC_FINAL 30 | 884
Milton - DDC	DDC_FINAL 31
Milton - DDC	DDC_FINAL 31 | 927
Milton - DDC	DDC_FINAL 32
Milton - DDC	DDC_FINAL 33
Milton - DDC	DDC_FINAL 34
Milton - DDC	DDC_FINAL 35
Milton - DDC	DDC_FINAL 36
Milton - DDC	DDC_FINAL 38
Milton - DDC	DDC_FINAL 39
Milton - DDC	DDC_FINAL 40
Milton - DDC	DDC_FINAL 41
Milton - DDC	DDC_FINAL 41 | 1217
Milton - DDC	DDC_FINAL 42
Milton - DDC	DDC_FINAL 43
Milton - DDC	DDC_FINAL 44
Milton - DDC	DDC_FINAL 45
Milton - DDC	DDC_FINAL 46
Milton - DDC	DDC_FINAL 47
Milton - DDC	DDC_FINAL 48
Milton - DDC	DDC_FINAL 49
Milton - DDC	DDC_FINAL 50
Milton - DDC	DDC_FINAL 51
Milton - DDC	DDC_FINAL 52
Milton - DDC	DDC_FINAL 53
Milton - DDC	DDC_FINAL 54
ground	B08803 1
ground	B08803 3
ground	B08803 4
ground	B08803 5
ground	B08803 6
ground	B08803 6 | 1694
ground	B08803 6 | 1728
ground	B08803 6 | 1751
ground	B08803 6 | 1766
ground	B08803 6 | 1790
ground	B08803 6 | 1812
ground	B08803 6 | 1827
ground	B08803 6 | 1846
ground	B08803 6 | 1857
ground	B08803 6 | 1879
ground	B08803 6 | 1893
ground	B08803 6 | 1916
ground	B08803 7
ground	B08803 7 | 1962
ground	B08803 7 | 1980
ground	B08803 7 | 1996
ground	B08803 7 | 2011
ground	B08803 7 | 2043
ground	B08803 7 | 2065
ground	B08803 7 | 2080
ground	B08803 7 | 2102
ground	B08803 7 | 2126
ground	B08803 7 | 2149
ground	B08803 7 | 2176
ground	B08803 7 | 2200
ground	B08803 7 | 2219
ground	B08803 7 | 2231
ground	B08803 7 | 2244
ground	B08803 7 | 2265
ground	B08803 7 | 2278
ground	B08803 7 | 2289
ground	B08803 7 | 2312
ground	B08803 7 | 2330
ground	B08803 7 | 2350
ground	B08803 7 | 2369
ground	B08803 7 | 2380
ground	B08803 7 | 2396
ground	B08803 7 | 2414
ground	B08803 7 | 2436
ground	B08803 7 | 2466
ground	B08803 7 | 2488
ground	B08803 7 | 2517
ground	B08803 7 | 2532
ground	B08803 7 | 2551
ground	B08803 8
ground	B08803 8 | 2587
ground	B08803 8 | 2605
ground	B08803 8 | 2631
ground	B08803 8 | 2653
ground	B08803 8 | 2672
ground	B08803 8 | 2702
ground	B08803 8 | 2721
ground	B08803 8 | 2739
ground	B08803 8 | 2753
ground	B08803 8 | 2782
ground	B08803 8 | 2806
ground	B08803 8 | 2836
ground	B08803 8 | 2858
ground	B08803 8 | 2890
ground	B08803 8 | 2911
ground	B08803 8 | 2925
ground	B08803 8 | 2951
ground	B08803 8 | 2970
ground	B08803 8 | 2993
ground	B08803 8 | 3017
ground	B08803 8 | 3040
ground	B08803 8 | 3053
ground	B08803 8 | 3068
ground	B08803 8 | 3095
ground	B08803 8 | 3117
ground	B08803 8 | 3137
ground	B08803 8 | 3151
ground	B08803 8 | 3171
ground	B08803 8 | 3185
ground	B08803 8 | 3202
ground	B08803 8 | 3221
ground	B08803 8 | 3233
ground	B08803 9
ground	B08803 10
ground	B08178 2
ground	B08178 4
ground	B08178 4 | 3302
ground	B08178 4 | 3324
ground	B08178 5
ground	B08178 5 | 3376
ground	B08178 5 | 3411
ground	B08178 5 | 3442
ground	B08178 5 | 3471
ground	B08178 5 | 3485
ground	B08178 6
ground	B08178 7
ground	B08178 7 | 3538
ground	B08178 7 | 3570
ground	B08178 7 | 3596
ground	B08178 8
ground	A95924 9
ground	A95924 10
ground	A95924 11
ground	A95924 13
ground	A95924 13 | 3761
ground	A95924 13 | 3824
ground	A95924 14
ground	A95924 15
ground	A95924 15 | 3916
ground	A95924 15 | 3933
ground	A95924 15 | 3944
ground	A95924 15 | 3960
ground	A95924 15 | 3975
ground	A95924 15 | 3993
ground	A95924 16
ground	A95924 16 | 4020
ground	A95924 16 | 4033
ground	A95924 16 | 4047
ground	A95924 17
ground	A95924 18
ground	A95924 18 | 4108
ground	A95924 18 | 4120
ground	A95924 19
ground	A95924 20
ground	A95924 21
ground	A95924 22
ground	A95924 23
ground	A95924 24
ground	A95924 25
ground	A95924 26
ground	A95924 27
ground	A95924 28
ground	A95924 28 | 4288
ground	A95924 28 | 4297
ground	A95924 28 | 4317
ground	A95924 28 | 4332
ground	A95924 28 | 4349
ground	A95924 29
ground	A95924 30
ground	A95924 31
ground	A95924 31 | 4404
ground	A95924 31 | 4432
ground	A95924 32
ground	A95924 32 | 4470
ground	A95924 32 | 4504
ground	A95924 33
ground	A95924 34
ground	A95924 35
ground	A95924 36
ground	A95924 36 | 4598
ground	A95924 37
ground	A95924 39
ground	A95924 41
ground	A95924 41 | 4667
ground	A95924 42
ground	A95924 42 | 4718
ground	A95924 42 | 4739
ground	A95924 43
ground	A95924 44
ground	A95924 46
ground	A91437 1
ground	A91437 3
ground	A91437 6
ground	A91437 7
ground	A91437 9
ground	A91437 10
ground	A91437 11
ground	A91437 11 | 4965
ground	A91437 11 | 5030
ground	A91437 12
ground	A91437 13
ground	A91437 14
ground	A91437 14 | 5104
ground	A91437 14 | 5153
ground	A91437 15
ground	A91437 16
ground	A91437 16 | 5241
ground	A91437 17
ground	A91437 18
ground	A91437 19
ground	A91437 20
ground	A91437 21
ground	A91437 22
ground	A91437 23
ground	A91437 24
ground	A91437 25
ground	A91437 26
ground	A91437 27
ground	A91437 28
ground	A91437 29
ground	A91437 30
ground	A91437 31
ground	A91437 32
ground	A91437 33
ground	A91437 34
ground	A91437 35
ground	A91437 36
ground	A91437 37
ground	A91437 38
ground	A91437 39
ground	A91437 40
ground	A91437 41
ground	A65422 3
ground	A65422 4
ground	A65422 5
ground	A65422 6
ground	A65422 9
ground	A65422 10
ground	A65422 10 | 6167
ground	A65422 10 | 6175
ground	A65422 11
ground	A65422 11 | 6214
ground	A65422 11 | 6242
ground	A65422 12
ground	A65422 13
ground	A65422 14
ground	A65422 15
ground	A65422 16
ground	A65422 16 | 6331
ground	A65422 17
ground	A65422 17 | 6351
ground	A65422 17 | 6366
ground	A65422 17 | 6380
ground	A65422 18
ground	A65422 19
ground	A65422 19 | 6418
ground	A65422 19 | 6440
ground	A65422 20
ground	A65422 21
ground	A65422 23
ground	A65422 24
ground	A65422 25
ground	A65422 26
ground	A65422 27
ground	A65422 28
ground	A65422 29
ground	A65422 30
ground	A65422 30 | 6563
ground	A65422 30 | 6585
ground	A65422 31
ground	A65422 32
ground	A65422 33
ground	A65422 34
ground	A65422 35
ground	A65422 35 | 6714
ground	A65422 35 | 6728
ground	A65422 35 | 6745
ground	A65422 35 | 6754
ground	A65422 35 | 6763
ground	A65422 35 | 6771
ground	A65422 35 | 6778
ground	A65422 36
ground	A65422 42
ground	A65422 43
ground	A65422 44
ground	A65422 45
ground	A65422 46
ground	A65422 47
ground	A65422 48
ground	A42920 4
ground	A42920 5
ground	A42920 6
ground	A42920 7
ground	A42920 7 | 7033
ground	A42920 7 | 7057
ground	A42920 7 | 7089
ground	A42920 7 | 7118
ground	A42920 8
ground	A42920 8 | 7174
ground	A42920 8 | 7212
ground	A42920 8 | 7244
ground	A42920 9
ground	A42920 9 | 7289
ground	A42920 9 | 7315
ground	A42920 9 | 7343
ground	A42920 9 | 7369
ground	A42920 9 | 7395
ground	A42920 9 | 7425
ground	A42920 9 | 7457
ground	A42920 10
ground	A42920 10 | 7515
ground	A42920 10 | 7547
ground	A42920 10 | 7578
ground	A42920 10 | 7613
ground	A42920 10 | 7641
ground	A42920 10 | 7676
ground	A42920 10 | 7701
ground	A42920 11
ground	A42920 11 | 7734
ground	A42920 11 | 7754
ground	A42920 11 | 7797
ground	A42920 11 | 7823
ground	A42920 11 | 7859
ground	A42920 11 | 7898
ground	A42920 11 | 7933
ground	A42920 11 | 7959
ground	A42920 11 | 7990
ground	A42920 11 | 8016
ground	A42920 11 | 8037
ground	A42920 11 | 8063
ground	A42920 11 | 8093
ground	A42920 11 | 8131
ground	A42920 11 | 8166
ground	A42920 11 | 8193
ground	A42920 11 | 8225
ground	A42920 11 | 8243
ground	A42920 12
ground	A42920 12 | 8291
ground	A42920 12 | 8324
ground	A42920 12 | 8357
ground	A42920 12 | 8383
ground	A42920 12 | 8408
ground	A42920 12 | 8438
ground	A42920 12 | 8469
ground	A42920 12 | 8498
ground	A42920 13
ground	A42920 14
ground	A42920 15
ground	A51245 1
ground	A51245 2
ground	A51245 4
ground	A51245 5
ground	A51245 6
ground	A51245 9
ground	A51245 10
ground	A51245 11
ground	A51245 17
ground	A01637 1
ground	A01637 7
ground	A01637 12
ground	A01637 13
ground	A01637 14
ground	A01637 15
ground	A01637 16
ground	A01637 17
ground	A01637 18
ground	A01637 19
ground	A01637 20
ground	A01637 21
ground	A01637 22
ground	A01637 23
ground	A01637 24
ground	A01637 25
ground	A01637 26
ground	A01637 27
ground	A01637 28
ground	A01637 29
ground	A01637 30
ground	A01637 31
ground	A01637 32
ground	A01637 33
ground	A01637 34
ground	A03949 1
ground	A03949 4
ground	A03949 6
ground	A03949 6 | 10629
ground	A03949 7
ground	A03949 8
ground	A03949 8 | 10674
ground	A03949 8 | 10684
ground	A03949 9
ground	A03949 9 | 10703
ground	A03949 10
ground	A03949 10 | 10715
ground	A03949 10 | 10718
ground	A03949 11
ground	A03949 11 | 10725
ground	A03949 11 | 10728
ground	A03949 11 | 10732
ground	A03949 11 | 10736
ground	A03949 12
ground	A03949 12 | 10745
ground	A03949 13
ground	A03949 13 | 10753
ground	A03949 13 | 10754
ground	A03949 14
ground	A03949 14 | 10833
ground	A03949 14 | 10889
ground	A03949 14 | 10997
ground	A03949 14 | 11088
ground	A03949 14 | 11184
