TCP_name_heading,original_ids
"John Milton, 1608-1674","Milton, John, 1608-1674.; Milton, John, 1608-1674.; Milton, John, 1608-1674.; Milton, John, 1608-1674.; Milton, John, 1608-1674.; Milton, John, 1608-1674.; Milton, John, 1608-1674.; Milton, John, 1608-1674.; Milton, John, 1608-1674.; Milton, John, 1608-1674.; Milton, John, 1608-1674.; Milton, John, 1608-1674.; Milton, John, 1608-1674.; Milton, John, 1608-1674.; Milton, John, 1608-1674.; Milton, John, 1608-1674. Samson Agonistes.; Milton, John, 1608-1674.; Milton, John, 1608-1674.; Milton, John, 1608-1674.; Milton, John, 1608-1674.; Milton, John, 1608-1674. Paradise lost.; Milton, John, 1608-1674."
"Charles Richard Sumner, 1790-1874","Sumner, Charles Richard, 1790-1874"
"John Collinges, 1623-1690","Collinges, John, 1623-1690.; Collinges, John, 1623-1690.; Collinges, John, 1623-1690.; Collinges, John, 1623-1690.; Collinges, John, 1623-1690.; Collinges, John, 1623-1690.; Collinges, John, 1623-1690. Excellent woman.; Collinges, John, 1623-1690. Light in darkness.; Collinges, John, 1623-1690.; Collinges, John, 1623-1690.; Collinges, John, 1623-1690."
"Thomas Tuke, died 1657","Tuke, Thomas, d. 1657.; Tuke, Thomas, d. 1657.; Tuke, Thomas, d. 1657.; Tuke, Thomas, d. 1657.; Tuke, Thomas, d. 1657.; Tuke, Thomas, d. 1657."
"Robert Vilvain, 1575?-1663","Vilvain, Robert, 1575?-1663.; Vilvain, Robert, 1575?-1663."
"William Parker, active 1651-1658","Parker, William, fl. 1651-1658.; Parker, William, fl. 1651-1658.; Parker, William, fl. 1651-1658."
"Craford Craford, Matthew","Craford, Matthew. Brief discovery of the bloody, rebellious and treasonable principles and practises of papists."
"John Welch, 1568?-1622","Welch, John, 1568?-1622.; Welch, John, 1568?-1622."
"John Godolphin, 1617-1678","Godolphin, John, 1617-1678.; Godolphin, John, 1617-1678.; Godolphin, John, 1617-1678."
"Richard Moore, 1619-1683","Moore, Richard, 1619-1683."
"Ralph Winterton, 1600-1636","Winterton, Ralph, 1600-1636.; Winterton, Ralph, 1600-1636.; Winterton, Ralph, 1600-1636.; Winterton, Ralph, 1600-1636.; Winterton, Ralph, 1600-1636."
"Johann Gerhard, 1582-1637","Gerhard, Johann, 1582-1637.; Gerhard, Johann, 1582-1637.; Gerhard, Johann, 1582-1637.; Gerhard, Johann, 1582-1637.; Gerhard, Johann, 1582-1637.; Gerhard, Johann, 1582-1637.; Gerhard, Johann, 1582-1637. Exercitium pietatis quotidianum quadripartitum. English. aut"
"Bèze, Théodore de Bèze, Théodore de, 1519","Bèze, Théodore de, 1519-1605. Summa totius Christianismi. English.; Bèze, Théodore de, 1519-1605.; Bèze, Théodore de, 1519-1605.; Bèze, Théodore de, 1519-1605.; Bèze, Théodore de, 1519-1605.; Bèze, Théodore de, 1519-1605."
S,"S. I., fl. 1595.; S. H.; S., Tho.; S. H.; S. L.; S. T.; S. A.; S. S. Man in the moone discovering a word of knavery under the sunne.; S. H.; S., Mr., Mr. of Art.; S. S., fl. 1616.; S. S.; S. H.; S. W. A., fl. 1610.; S. R.; S. P. D.; S. O., fl. 1630-1634.; S. E., Mennonite."
"Richard Coppin, active 1646-1659","Coppin, Richard, fl. 1646-1659.; Coppin, Richard, fl. 1646-1659."
