TCP_name_heading,entity_type,entity_title,wiki_entity_id,description,what,aliases,Library of Congress authority ID,VIAF cluster ID,Oxford Dictionary of National Biography ID,Encyclopædia Britannica Online ID,writing language,date of birth,date of death,manner of death,cause of death,country of citizenship,occupation,student of,position held,field of work,religion or worldview,sex or gender,educated at,diocese,described by source,Oxford DNB Link
"17th cent Craufurd, James, attributed name",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"17th cent Deacon, John, attributed name",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"A. C. (Arthur Crowther) A. C. (Arthur Crowther), 1588",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Abdiah Cole, circa 1610-circa 1670",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Abednego Seller, 1646?-1705",PERSON,Abednego Seller,Q18572158,nonjuring Church of England clergyman and religious writer,human,,n84134388,90769973,25057.0,,,"['+1646-01-01T00:00:00Z', '+1647-00-00T00:00:00Z']",+1705-00-00T00:00:00Z,,,Kingdom of England (Q179876),cleric (Q2259532),,,,Anglicanism (Q6423963),male (Q6581097),,,"Dictionary of National Biography, 1885–1900 (Q15987216)","https://en.wikisource.org/wiki/Dictionary_of_National_Biography,_1885-1900/Seller,_Abednego"
"Abelin Abelin, Johann Philipp",PERSON,Johann Philipp Bethmann,Q104855,German merchant and banker,human,,,27814423,,,,+1715-11-30T00:00:00Z,+1793-11-27T00:00:00Z,,,Germany (Q183),banker (Q806798),,,,,male (Q6581097),,,Allgemeine Deutsche Biographie (Q590208),
"Abiezer Coppe, 1619-1672",PERSON,Abiezer Coppe,Q4667648,English writer,human,,n85144227,7438564,6275.0,,,+1619-01-01T00:00:00Z,+1672-01-01T00:00:00Z,,,,writer (Q36180),,,,,male (Q6581097),"['Warwick School (Q7971186)', 'Merton College (Q82513)']",,"Dictionary of National Biography, 1885–1900 (Q15987216)",
"Abraham Bosse, 1602-1676",PERSON,Abraham Bosse,Q326215,French artist (1604-1676),human,"['A. Bosse', 'Bosse Abrah.', 'Bossee', '[Abraham Bosse]']",n82272447,61542289,,biography/Abraham-Bosse,,"['+1604-00-00T00:00:00Z', '+1602-01-01T00:00:00Z']","['+1676-02-16T00:00:00Z', '+1676-02-14T00:00:00Z']",,,France (Q142),"['printmaker (Q11569986)', 'etcher (Q10862983)', 'painter (Q1028181)', 'draftsperson (Q15296811)', 'graphic artist (Q1925963)', 'copper engraver (Q13365770)', 'writer (Q36180)', 'art theorist (Q17391638)', 'watercolorist (Q17505902)']",Melchior Tavernier (I) (Q21552991),,,,male (Q6581097),,,"['Het Gulden Cabinet (Q2283753)', 'Teutsche Academie der Edlen Bau- Bild- und Mahlerey-Künste (Q15089621)', 'Meyers Konversations-Lexikon, 4th edition (1885–1890) (Q19219752)', 'BEIC Digital Library (Q51955019)', 'Brockhaus and Efron Encyclopedic Dictionary (Q602358)', 'Small Brockhaus and Efron Encyclopedic Dictionary (Q19180675)']",
"Abraham Cheare, died 1668",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Abraham Cowley, 1618-1667",PERSON,Abraham Cowley,Q329896,British writer (1618–1667),human,,n50018768,95254963,6499.0,biography/Abraham-Cowley,English (Q1860),+1618-01-01T00:00:00Z,"['+1667-07-28T00:00:00Z', '+1667-00-00T00:00:00Z']",,,Kingdom of England (Q179876),"['poet (Q49757)', 'essayist (Q11774202)', 'playwright (Q214917)', 'prose writer (Q12144794)', 'writer (Q36180)']",,,"['literature (Q8242)', 'poetry (Q482)']",,male (Q6581097),"['Trinity College (Q332342)', 'Westminster School (Q1341516)']",,"['Svensk uppslagsbok (Q1766280)', 'Dictionary of National Biography, 1885–1900 (Q15987216)', 'Brockhaus and Efron Encyclopedic Dictionary (Q602358)', 'Lives of the Most Eminent English Poets (Q4015014)', 'Dictionary of Literary Biography (Q1210318)', 'The Nuttall Encyclopædia (Q3181656)', ""Library of the World's Best Literature (Q19098835)"", 'Encyclopædia Britannica 11th edition (Q867541)']",
"Abraham Darcie, active 1625",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Abraham Fleming, 1552?-1607",PERSON,Abraham Fleming,Q2821826,English writer and clergyman (c. 1552–1607),human,,n84806371,54304782,9693.0,,English (Q1860),+1552-01-01T00:00:00Z,+1607-09-18T00:00:00Z,,,,"['linguist (Q14467526)', 'translator (Q333634)', 'poet (Q49757)']",,,,Anglicanism (Q6423963),male (Q6581097),,,"Dictionary of National Biography, 1885–1900 (Q15987216)","https://en.wikisource.org/wiki/Dictionary_of_National_Biography,_1885-1900/Fleming,_Abraham"
"Abraham Fraunce, active 1587-1633",PERSON,Abraham Fraunce,Q3364589,English poet,human,,n79090107,112017356,10133.0,biography/Abraham-Fraunce,English (Q1860),+1558-01-01T00:00:00Z,+1593-01-01T00:00:00Z,,,England (Q21),"['writer (Q36180)', 'poet (Q49757)']",,,poetry (Q482),,male (Q6581097),"[""St John's College (Q691283)"", 'Shrewsbury School (Q2280221)']",,"['Dictionary of National Biography, 1885–1900 (Q15987216)', 'Encyclopædia Britannica 11th edition (Q867541)']",
"Abraham Holland, died 1626",PERSON,Abraham Holland,Q15990051,English poet,human,,nr93005248,10196508,13514.0,,,+1596-01-01T00:00:00Z,+1626-02-18T00:00:00Z,natural causes (Q3739104),plague (Q133780),,poet (Q49757),,,,,male (Q6581097),Trinity College (Q332342),,"Dictionary of National Biography, 1885–1900 (Q15987216)",
"Abraham Jackson, 1589-1646?",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Abraham Markland, 1645-1728",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Abraham Scultetus, 1566-1624",PERSON,Abraham Scultetus,Q330591,German theologian (1566-1625),human,,n84177208,7444594,,,"['German (Q188)', 'Latin (Q397)']",+1566-08-24T00:00:00Z,+1625-10-24T00:00:00Z,,,Germany (Q183),theologian (Q1234713),,,,Protestantism (Q23540),male (Q6581097),Heidelberg University (Q151510),,"['Allgemeine Deutsche Biographie (Q590208)', 'Biographical Lexicon for East Frisia (online version) (Q130487123)']",
"Abraham Sherman, 1601 or 2-1654",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Achelley Achelley, Thomas",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
