tag,item
author_wiki,english (author's description)
author_wiki,poet (author's description)
author_wiki,and (author's description)
author_wiki,Anglicanism (Q6423963) (author's religion or worldview)
author_wiki,poet (Q49757) (author's occupations)
author_wiki,writer (Q36180) (author's occupations)
author_wiki,politician (Q82955) (author's occupations)
author_wiki,bishop (author's description)
author_wiki,of (author's description)
author_wiki,librarian (Q182436) (author's occupations)
author_wiki,Anglican priest (Q3409375) (author's occupations)
author_wiki,minister (author's description)
author_wiki,Presbyterianism (Q178169) (author's religion or worldview)
author_wiki,priest (author's description)
author_wiki,lawyer (author's description)
author_wiki,physician (author's description)
author_wiki,academic (author's description)
author_wiki,physician (Q39631) (author's occupations)
author_wiki,philologist (Q13418253) (author's occupations)
author_wiki,university teacher (Q1622272) (author's occupations)
author_wiki,theologian (author's description)
author_wiki,Lutheranism (Q75809) (author's religion or worldview)
author_wiki,theologian (Q1234713) (author's occupations)
author_wiki,french (author's description)
author_wiki,scholar (author's description)
author_wiki,Protestantism (Q23540) (author's religion or worldview)
author_wiki,translator (Q333634) (author's occupations)
author_wiki,playwright (Q214917) (author's occupations)
author_wiki,Bible translator (Q24262584) (author's occupations)
author_wiki,historian (Q201788) (author's occupations)
author_wiki,political (author's description)
author_wiki,religious (author's description)
author_wiki,writer (author's description)
author_wiki,puritan (author's description)
author_wiki,clergyman (author's description)
author_wiki,the (author's description)
author_wiki,church (author's description)
author_wiki,philosopher (Q4964182) (author's occupations)
author_wiki,scottish (author's description)
author_wiki,british (author's description)
author_wiki,controversialist (author's description)
author_wiki,author (author's description)
author_wiki,astrologer (Q155647) (author's occupations)
author_wiki,german (author's description)
author_wiki,lawyer (Q40348) (author's occupations)
author_wiki,philosopher (author's description)
author_wiki,preacher (Q432386) (author's occupations)
author_wiki,thcentury (author's description)
author_wiki,",  (author's occupations)"
author_wiki,naturalist (Q18805) (author's occupations)
author_wiki,Member of Parliament in the Parliament of England (Q18018860) (author's occupations)
author_wiki,Member of the 1642-48 Parliament (Q105958303) (author's occupations)
author_wiki,translator (author's description)
author_wiki,anglican (author's description)
author_wiki,Reformed Christianity (Q101849) (author's religion or worldview)
author_wiki,preacher (author's description)
author_wiki,soldier (author's description)
author_wiki,cleric (Q2259532) (author's occupations)
