id,title,authors,publisher,pubplace,date,subject_heading
A62923,"The Northern star, The British monarchy, or, The northern the fourth universal monarchy Charles II, and his successors, the founders of the northern, last, fourth and most happy monarchy : being a collection of many choice ancient and modern prophecies ; wherein also the fates of the Roman, French, and Spanish monarchies are occasionally set out.","Tonge, Ezerel, 1621-1680.",Printed by J D and are to be sold by most booksellers,London,1680,Prophecies --  Early works to 1800.
A12988,"A plaine and easie laying open of the meaning and vnderstanding of the rules of construction in the English accidence appointed by authoritie to be taught in all schooles of hir Maiesties dominions, for the great vse and benefite of yoong beginners: by Iohn Stockwood sometime schoolmaster of Tunbridge.","Stockwood, John, d. 1610.",By Eliot s Court Press for the assignes of Francis Flower,Imprinted at London,1590,"Lily, William. --  Introduction of the eyght partes of speche.; English language --  Grammar --  Textbooks --  Early works to 1800.; English language --  Grammar --  Early works to 1800."
A15140,"A choice of emblemes, and other deuises, for the moste parte gathered out of sundrie writers, Englished and moralized. And diuers newly deuised, by Geffrey Whitney. A worke adorned with varietie of matter, both pleasant and profitable: wherein those that please, maye finde to fit their fancies: bicause herein, by the office of the eie, and the eare, the minde maye reape dooble delighte throughe holsome preceptes, shadowed with pleasant deuises: both fit for the vertuous, to their incoraging: and for the wicked, for their admonishing and amendment","Whitney, Geffrey, 1548?-1601?",In the house of Christopher Plantyn by Francis Raphelengius,Imprinted at Leyden,1586,"Emblem books, English --  Early works to 1800."
A08539,A relation of the solemnetie wherewith the Catholike princes K. Phillip the III. and Quene Margaret were receyued in the Inglish Colledge of Valladolid the 22. of August. 1600. VVritten in Spanish by Don Ant. Ortiz and translated by Frauncis Riuers and dedicated to the right honorable the Lord Chamberlayne.,"Ortiz, Antonio, fl. 1600.; Rivers, Francis.",VVith licence by A Conincx,Printed at N i e Antwerp,1601,"Philip --  III, --  King of Spain, 1578-1621 --  Early works to 1800.; Margarita, --  de Austria, Queen, consort of Philip III, King of Spain, 1584-1611 --  Early works to 1800."
A58417,"A Relation in the form of journal of the voiage and residence which the most mighty Prince Charls the II King of Great Britain, &c. hath made in Holland, from the 25 of May, to the 2 of June, 1660 rendered into English out of the original French by Sir William Lower ...","Keuchenius, Robertus, 1636-1673.; Lower, William, Sir, 1600?-1662.",Printed by Adrian Vlack,Hague,1660,"Charles --  II, --  King of England, 1630-1685."
A53044,"The description of a new world, called the blazing-world written by the thrice noble, illustrious, and excellent princesse, the Duchess of Newcastle.","Newcastle, William Cavendish, Duke of, 1592-1676.; Newcastle, Margaret Cavendish, Duchess of, 1624?-1674.",Printed by A Maxwell,London,1668,"Voyages, Imaginary."
A57657,"Mel heliconium, or, Poeticall honey gathered out of the weeds of Parnassus divided into VII chapters according to the first VII letters of the alphabet : containing XLVIII fictions, out of which are extracted many historicall, naturall, morall, politicall and by Alexander Rosse ...","Ross, Alexander, 1591-1654.",Printed by L N and J F for William Leak,London,1642,"Mythology, Classical."
B12363,"The gentile craft. The second part Being a most merrie and pleasant historie, not altogether vnprofitable nor any way hurtfull: verie fit to passe away the tediousnesse of the long winter evenings. By T.D.","Deloney, Thomas, 1543?-1600.",Printed by Elizabeth Purslow dwelling nere Christ Church,London,1639,Shoemakers --  Early works to 1800.
B01426,"Edinburgh, at the Parliament-House, February 13. 1661.","Argyll, Archibald Campbell, Earl of, 1629-1685",s n,Edinburgh,1661,"Argyll, Archibald Campbell, --  Earl of, 1629-1685 --  Trials, litigation, etc.; Trials (Treason) --  Scotland --  Early works to 1800."
A85521,"The grand indictment of high-treason. Exhibited aginst the Marquess of Argyle, by His Maiesties Advocate. To the Parliament of Scotland. With the Marquesses answers. And the proceedings thereupon.","Argyll, Archibald Campbell, Marquis of, 1598-1661.",Printed for the satisfaction of all those that desire to know the truth,London,1661,"Argyll, Archibald Campbell, --  Marquis of, 1598-1661.; Treason --  England --  Early works to 1800."
