id,title,authors,publisher,pubplace,date,subject_heading
A93121,"Salmacis, Lyrian & Sylvia, forsaken Lydia, the rape of Helen, a comment thereon, with severall other poems and translations. By Edvvard Sherburne Esquire.","Marino, Giambattista, 1569-1625.; Saint-Amant, Marc Antoine Gérard, sieur de, 1594-1661.; Preti, Girolamo, 1582-1626.; Colluthus, of Lycopolis.; Sherburne, Edward, Sir, 1618-1702.",Printed by W Hunt for Thomas Dring at the sign of the George near Cliffords Inn in Fleetstreet,London,1651,
A90377,"Poems written by the Right Honorable William earl of Pembroke, lord steward of his Majesties houshold. Whereof many of which are answered by way of repartee, by Sr Benjamin Ruddier, knight. With several distinct poems, written by them occasionally, and apart.","Herbert, William, Sir, 1507-1570.; Rudyerd, Benjamin, Sir, 1572-1658.",Printed by Matthew Inman and are to be sold by James Magnes in Russel street near the Piazza in Covent Garden,London,1660,
A93175,"Poems, &c. By James Shirley.","Shirley, James, 1596-1666.",Printed by Ruth Raworth and Susan Islip for Humphrey Moseley and are to be sold at his shop at the signe of the Princes Armes in St Pauls Church yard,London,1646,
A86166,"Clarastella together with poems occasional, elegies, epigrams, satyrs. / By Robert Heath, Esquire.","Heath, Robert, fl. 1636-1659.",Printed for Humph Moseley and are to be sold at his shop at the signe of the Princes Arms in S Pauls Church yard,London,1650,
A89149,"Poems of Mr. John Milton, both English and Latin, compos'd at several times. Printed by his true copies. / The songs were set in musick by Mr. Henry Lawes Gentleman of the Kings Chappel, and one of His Maiesties private musick. Printed and publish'd according to order.","Marshall, William, fl. 1617-1650, engraver.; Lawes, Henry, 1596-1662.; Milton, John, 1608-1674.",Printed by Ruth Raworth for Humphrey Moseley and are to be sold at the signe of the Princes Arms in S Pauls Church yard,London,1646,
A86824,Poems by John Hall.,"Marshall, William, fl. 1617-1650, engraver.; Hall, John, 1627-1656.",Printed by E G London and Roger Daniel printer to the Universitie 1646 For J Rothwell at the Sun in Pauls Church yard London,Cambridge,1647,
A86610,"Poems, viz. 1. A panegyrick to the king. 2. Songs and sonnets. 3. The blind lady, a comedy. 4. The fourth book of Virgil, 5. Statius his Achilleis, with annotations. 6. A panegyrick to Generall Monck. / By the Honorable Sr Robert Howard.","Howard, Robert, Sir, 1626-1698.; Virgil.; Statius, P. Papinius (Publius Papinius); Dryden, John, 1631-1700.",Printed for Henry Herringman and are to be sold at his shop at the sign of the Anchor on the lower Walk of the New Exchange,London,1660,
B24020,"The synagogue, or, The shadow of the temple sacred poems and private ejaculations, in imitation of Mr. George Herbert.","Harvey, Christopher, 1597-1663.",Printed by S Roycroft for R S and are to be sold by John Williams Junior,London,1679,
B12045,"Loves martyr: or, Rosalins complaint. Allegorically shadowing the truth of loue, in the constant fate of the phœnix and turtle. A poeme enterlaced with much varietie and raritie; now first translated out of the venerable Italian Torquato Cæliano, by Robert Chester. With the true legend of famous King Arthur, the last of the nine worthies, being the first essay of a new Brytish poet: collected out of diuerse authenticall records. To these are added some new compositions, of seuerall moderne writers whose names are subscribed to their seuerall workes, vpon the first subiect: viz. the phœnix and turtle.","Jonson, Ben, 1573?-1637.; Shakespeare, William, 1564-1616.; Chester, Robert, 1566-1640.; Marston, John, 1575?-1634.; Chapman, George, 1559?-1634.",Imprinted by R Field for E B lount,London,1601,
B01136,"A crovvne for a conquerour; and Too late to call backe yesterday. Two poems, the one divine and the other morall. / By R.D.","Constable, Francis, d. 1647, bookseller.; Davenport, Robert, fl. 1623.; Davenport, Robert, fl. 1623. Too late to call backe yesterday.; Purslowe, Elizabeth, printer.",Printed by E P for Francis Constable and are to be sold at his shop under Saint Martins Church,London,1639,
B08081,"A poeticall sea-peice: containing in a spacious table the lively description of a tempest at sea, and shipvvrecks. / Transcribed hither out of an elderly manuscript poem; partly for a lesson of life, and partly for the honorable uses which follow; under the old Greeke, and Roman solemn præfaces of good speed. ... With the fauorable allowance, and concurrence (or not otherwise) of the æquall patrons, and friends of eminent poets, painters, from Cæsar to the private gentleman, and of those poets, and eminent painters themselves. An agonicall challenge, in the name of Apollo, to the art of Apelles, bringing into a comparison the worke of wit, and words, by the penne, under the poeticall figure, Jeon, with the worke of wit, and colours, by the penicill ... The meritorious office of bringing the magnificent designe into act, by the meanes of royall favour, is zealously recommended to the wisedome, and noble forwardnesse of Mr. Endymion Porter ...",Anonymous,by Thomas Cotes,Printed at London,1633,
A80717,"Poems, by several persons","Cowley, Abraham, 1618-1667.",printed by John Crooke printer to the Kings Most Excellent Majesty for Samuel Dancer next door to the Bear and Ragged Staffe in Castle street,Dublin,1663,
A93162,"Dia, a poem to which is added Love made lovely. / By William Shipton published by a friend.","Shipton, William.",Printed for Charles Tyus at the signe of the Three Bibles on the middle of London Bridge,London,1659,
A67344,Poems &c. written by Mr. Ed. Waller ... ; and printed by a copy of his own hand-writing ; all the lyrick poems in this booke were set by Mr. Henry Lawes ...,"Lawes, Henry, 1596-1662.; Waller, Edmund, 1606-1687.",Printed by I N for Hu Mosley,London,1645,
A66004,Iter boreale with large additions of several other poems : being an exact collection of all hitherto extant : never before published together / the author R. Wild.,"Wild, Robert, 1609-1679.",Printed for the booksellers,London,1668,
A68450,"A morall poem, intituled the Legend of Cupid and Psyche. Or Cupid and his mistris As it was lately presented to the Prince Elector. Written by Shackerley Marmion, Gent.","Marmion, Shackerley, 1603-1639.",Printed by N and I Okes and are to be sold by H Sheppard at his shop in Chancery lane neere Serjants Inne at the Bible,London,1638,
A44267,"The Iliads and Odysses of Homer translated out of Greek into English by Tho. Hobbes of Malmsbury ; with a large preface concerning the vertues of an heroick poem, written by the translator.","Homer.; Wallim, J. Life of Homer.; Hobbes, Thomas, 1588-1679.",Printed for Will Crook,London,1677,
A44493,"The divine wooer, or, A poem setting forth the love and loveliness of the Lord Jesus and his great desire of our welfare and happiness, and propounding many arguments ... to persuade souls to the faith and obedience of him ... / composed by J.H.","Horn, John, 1614-1676.",Printed for R Taylor and T Sawbridge,London,1673,
A41742,"Poems upon the death of the most honorable, the Lady Marchioness of Winchester / by R. Graham.","Preston, Richard Graham, Viscount, 1648-1695.",Printed by Alice Broad and John White,York,1680,
A51310,Philosophical poems by Henry More ...,"More, Henry, 1614-1687.",Printed by Roger Daniel,Cambridge,1647,
A57222,Poems sacred and satyricale,"Richards, Nathanael, ca. 1600-1652.",By T Paine for H Blunden,London,1641,
A57099,Poems by Eldred Revett.,"Revett, Eldred. Poems divine.; Revett, Eldred.",Printed by E T for the Authour,London,1657,
A50924,Paradise lost a poem in twelve books / the author John Milton.,"Milton, John, 1608-1674.",Printed by S Simmons,London,1674,
A54716,"Poems by the most deservedly admired Mrs. Katherine Philips, the matchless Orinda ; to which is added Monsieur Corneille's Pompey & Horace, tragedies ; with several other translations out of French.","Corneille, Pierre, 1606-1684. Mort de Pompée. English.; Corneille, Pierre, 1606-1684. Horace. English.; Philips, Katherine, 1631-1664.",Printed by J M for H Herringman,London,1667,
A51985,Poems on His Majesties birth and restauration His Highness Prince Rupert's and His Grace the Duke of Albemarle's naval victories : the late great pestilence and fire of London / by Abraham Markland.,"Markland, Abraham, 1645-1728.",Printed by James Cotterell,London,1667,
A15139,"The most pleasante historie, of Albino and Bellama A poeme. To which is annexed the vindication of poesie. by N.W.","Dalen, Cornelius van, engraver.; Whiting, Nathaneel, 1617?-1682.",Printed and are to be sould by Nicho Fussell,London,1639,
A10732,"The celestiall publican A sacred poem: liuely describing the birth, progresse, bloudy passion, and glorious resurrection of our Sauiour. The spirituall sea-fight. The mischieuous deceites of the world, the flesh, the vicious courtier. The Iesuite. The Diuell. Seauen seuerall poems, with sundry epitaphs and anagrams. By Nathanael Richards Gent.","Richards, Nathanael, ca. 1600-1652.",Imprinted by Felix Kyngston for Roger Michell,London,1630,
A19946,"Dauisons poems, or, A poeticall rapsodie Deuided into sixe bookes. The first, contayning poems and deuises. The second, sonets and canzonets. The third, pastoralls and elegies. The fourth, madrigalls and odes. The fift, epigrams and epitaphs. The sixt, epistles, and epithalamions. For variety and pleasure, the like neuer published.","Davison, Francis, 1575?-1619?",Printed by B ernard A lsop for Roger Iackson,London,1621,
A10731,"Seuen poems diuine, morall, and satyricall : the [brace] viz. Celestiall publican, Spirituall sea-fight, World, Flesh, Vicious courtier, Iesuite, Deuill : together with sundry epitaphs and epigrams / by N.R. Gent.","Richards, Nathanael, ca. 1600-1652.",For Roger Michell dwelling in Charterhouse lane,Printed at London,1631,
A28572,Le Lutrin an heroick poem / written originally in French by Monsieur Boileau ; made English by N. O.,"Boileau Despréaux, Nicolas, 1636-1711.; N. O.",Printed by J A for Benjamin Alsop,London,1682,
A25635,"An Answer to Wild, or, A Poem upon the imprisonment of Robert Wild D.D. in Cripplegate by a brother of the same gongregation [sic].",Anonymous,s n,S l,1660,
A35338,"The history of Ioseph a poem / written by Daniel Cudmore, Gent.","Cudmore, Daniel, 17th cent.",Printed by T Warren for the use of the author,London,1652,
A36873,"The love of God, or, Love divine being the subject of these ensuing meditations / collected out of Mr. Gorings English translation ; originally penned by Peter Du Moulin ... ; digested into divine poems by William Wood ...","Wood, William.; Du Moulin, Pierre, 1568-1658.",Printed at York by Tho Broad for the author,York,1656,
A63095,Poems by N. Tate.,"Tate, Nahum, 1652-1715.",Printed by T M for Benj Tooke,London,1677,
A68914,"Iuuenilia. A collection of those poemes which were heretofore imprinted, and written by George wither","Elstracke, Renold, fl. 1590-1630, engraver.; Wither, George, 1588-1667.",Printed by Thomas Snodham for Iohn Budge in paul s Church yard at ye signe of the green dragon,London,1622,
