id,title,authors,publisher,pubplace,date,subject_heading
A87363,"Rules to know a royall king, from a disloyall subject. With an exact account given of the jewels of the crowne of England. Whereunto is added, a touch-stone for a traitor. VVritten by the Kings friend, and a lover of the Common-wealth, Tho: Jordan.","Jordan, Thomas, 1612?-1685?",Printed for Robert Wood and Edward Christopher,London,1642,"Great Britain --  History --  Civil War, 1642-1649 --  Early works to 1800."
B05975,"The vaulting master: or the art of vaulting: Reduced to a method, comprized under certaine rules, illustrated by examples, and now primarily set forth, by Will. Stokes.","Stokes, William, fl. 1641.",by I Okes,Imprinted at London,1641,Vaulting (Horsemanship) --  Early works to 1800.
A88131,"The life and death of Philip Herbert, the late infamous knight of Barkshire, once Earle of Pembrock, Moungomerie, &c. who departed from this life to another January 23. 1649. Having, by a degenerate basenesse, betrayed his nobilitie; and entred himselfe a commoner, amongst the vere scum of the kingdom. Likewise a discourse with Charon in his voyage to Hell. With his araignement, tryall and condemnation, before the three judges, Æacus, Minos and Raddamanthus. Also the entertainment and welcome made by his brethren, Pym, Dorislaus, Raynsborough, &c. with an ample testimonie of their rejoycing at his Lordships arivall.",Anonymous,s n,London,1650,"Pembroke, Philip Herbert, --  Earl of, 1584-1650."
A91026,"The princely pellican. Royall resolves presented in sundry choice observations, extracted from His Majesties divine meditations: with satisfactory reasons to the whole kingdome, that his sacred person was the onely author of them.",Anonymous,s n,London,1649,"Charles --  I, --  King of England, 1600-1649."
A70453,"Historical antiquities, in two books the first treating in general of Great-Brettain and Ireland : the second containing particular remarks concerning Cheshire / faithfully collected out of authentick histories, old deeds, records, and evidences, by Sir Peter Leycester, Baronet ; whereunto is annexed a transcript of Doomsday-book, so far as it concerneth Cheshire, taken out of the original record.","Leycester, Peter, Sir, 1614-1678.",Printed by W L for Robert Clavell,London,1673,Cheshire (England) --  Genealogy.; Great Britain --  History.
A65531,Ancilla calligraphiæ or The handmaid to fair writing being an essey [sic] of the pen and graver. Performed for private divertisment and to please some particular friends by Thomas Weston gent alij multa persiciunt nos nonnulla conamur,"Elder, William, fl. 1680-1700, engraver.; White, Robert, 1645-1703, engraver.; Sturt, John, 1658-1730, engraver.; Weston, Thomas, gent.",s n,London,1682,Penmanship --  Early works to 1800.; Copybooks --  England --  Early works to 1800.
A59989,"An ode upon the happy return of King Charles II to his languishing nations, May 29, 1660 by James Shirley : composed into music by Dr. Coleman.",Anonymous,s n,London,1660,"Charles --  II, --  King of England, 1630-1685."
A03017,"The funerals of the high and mighty Prince Henry, Prince of Wales, Duke of Cornewaile and Rothsay, Count Palatine of Chester, Earle of Carick, and late Knight of the most noble Order of the Garter VVhich noble Prince deceased at St. Iames, the sixt day of Nouember, 1612. and was most princely interred the seuenth day of December following, within the Abbey of Westminster, in the eighteenth yeere of his age.",Anonymous,Printed by T homas S nodham for Iohn Budgde i e Budge and are to be sould at his shop at the great south dore of Paules and at Brittanes Bursse,London,1613,"Henry Frederick, --  Prince of Wales, 1594-1612 --  Death and burial --  Early works to 1800."
A64761,"Anima magica abscondita or a discourse of the universall spirit of nature, with his strange, abstruse, miraculous ascent, and descent. By Eugenius Philalethes.","Vaughan, Thomas, 1622-1666.",Printed by T W for H B lunden,London,1650,Nature --  Early works to 1800.
A57532,Remains of Sir Walter Raleigh ...,"Raleigh, Walter, Sir, 1552?-1618.; Vaughan, Robert.",Printed for William Sheares Iunior,London,1657,England and Wales. --  Parliament.; Political science --  Early works to 1800.
