div_type,count,percentage
chapter,104,28.49
part,46,12.6
poem,31,8.49
encomium,21,5.75
hymn,18,4.93
section,14,3.84
to_the_reader,11,3.01
lecture,8,2.19
book,7,1.92
title_page,7,1.92
text,7,1.92
thesis,6,1.64
dedication,6,1.64
preface,5,1.37
article,5,1.37
prayer,4,1.1
treatise,4,1.1
dialogue,4,1.1
excerpt_and_reply,3,0.82
letter,3,0.82
epitaph,3,0.82
verse,3,0.82
appendix,2,0.55
song,2,0.55
branch,2,0.55
version,2,0.55
digression,2,0.55
acrostic,2,0.55
reply,2,0.55
postscript,2,0.55
reprobation,1,0.27
biblical_exegesis,1,0.27
item,1,0.27
selection,1,0.27
epigraph,1,0.27
ballad,1,0.27
poems,1,0.27
answer,1,0.27
publisher,1,0.27
sermon,1,0.27
scriptural_passages,1,0.27
lesson,1,0.27
biography,1,0.27
anagram,1,0.27
exercise,1,0.27
ode,1,0.27
summary,1,0.27
elegy,1,0.27
publisher_to_the_reader,1,0.27
author_to_friend,1,0.27
saint,1,0.27
poem_accompanying_frontispiece,1,0.27
prayers,1,0.27
hymns,1,0.27
legends,1,0.27
warning_to_catholics,1,0.27
translator_to_the_reader,1,0.27
discourse,1,0.27
frontispiece,1,0.27
