div_type,count,percentage
poem,25664,34.45
chapter,7008,9.41
part,5391,7.24
act,2783,3.74
psalm,2667,3.58
section,2275,3.05
encomium,1768,2.37
scene,1410,1.89
book,1348,1.81
text,1339,1.8
song,1234,1.66
sonnet,1197,1.61
epigram,1190,1.6
title_page,1125,1.51
sermon,994,1.33
hymn,943,1.27
dedication,881,1.18
to_the_reader,651,0.87
elegy,582,0.78
letter,538,0.72
fable,515,0.69
epitaph,493,0.66
prologue,469,0.63
epilogue,427,0.57
biography,426,0.57
emblem,424,0.57
dialogue,368,0.49
ode,339,0.46
meditation,315,0.42
canto,298,0.4
version,298,0.4
preface,274,0.37
subpart,273,0.37
prayer,263,0.35
treatise,230,0.31
exposition,212,0.28
speech,205,0.28
satire,203,0.27
discourse,169,0.23
frontispiece,148,0.2
argument,136,0.18
life,125,0.17
epistle,123,0.17
illustration,119,0.16
poetry,116,0.16
conclusion,116,0.16
essay,113,0.15
biblical_figure,104,0.14
account,102,0.14
question,99,0.13
introduction,95,0.13
history,94,0.13
gambit,94,0.13
year,88,0.12
commentary,86,0.12
verse,83,0.11
postscript,83,0.11
eclogue,81,0.11
lecture,81,0.11
emblem_in_verse,75,0.1
fable_with_moral,73,0.1
anagram,72,0.1
epigraph,71,0.1
illustration_of_speech,67,0.09
inscription,66,0.09
verselet,63,0.08
prophecy,60,0.08
answer,60,0.08
acrostic,57,0.08
act_and_scene,57,0.08
explanation,57,0.08
day,53,0.07
notes,51,0.07
ballad,51,0.07
lot,50,0.07
ejaculation,49,0.07
acrostic_poem,49,0.07
masque,47,0.06
song_and_introduction,46,0.06
play,46,0.06
king,44,0.06
translation,44,0.06
tract,43,0.06
observations,43,0.06
century,42,0.06
author_to_the_reader,42,0.06
flower,40,0.05
tale,38,0.05
lineament,37,0.05
article,37,0.05
entry,36,0.05
appendix,36,0.05
fragment,36,0.05
proposition,36,0.05
subsection,34,0.05
dedicatory_poem,33,0.04
grace,32,0.04
distich,32,0.04
annotation,31,0.04
maxim,31,0.04
person,31,0.04
envoy,30,0.04
poems,29,0.04
petition,29,0.04
monarch,28,0.04
annotations,28,0.04
addendum,27,0.04
author,27,0.04
example,26,0.03
prayer_sequence,24,0.03
soliloquy,24,0.03
thought,23,0.03
epithalamium,23,0.03
chorus,22,0.03
character,22,0.03
depth,22,0.03
to_the_author,22,0.03
illustrations,22,0.03
epode,21,0.03
body_of_dialogue,21,0.03
commentary_on_verse,21,0.03
pages,21,0.03
document,21,0.03
progression,20,0.03
text_of_hymn,20,0.03
oration,19,0.03
paragraph,19,0.03
poem_to_the_reader,18,0.02
author_to_book,18,0.02
response,18,0.02
translator_to_the_reader,18,0.02
epigrams,18,0.02
disquisition,18,0.02
lamentation,17,0.02
reason,17,0.02
metrical_version,17,0.02
commandment,17,0.02
carol,17,0.02
story,16,0.02
vision,16,0.02
verses,16,0.02
protestant,16,0.02
poem__rebus_,16,0.02
portrait,16,0.02
application,16,0.02
sephyra,15,0.02
hieroglyph,15,0.02
hieroglyph_in_verse,15,0.02
joseph,15,0.02
month,15,0.02
extract,14,0.02
prefatory_poem,14,0.02
verse_letter,14,0.02
reply,14,0.02
prayers,14,0.02
apology,14,0.02
panegyric,14,0.02
issue,14,0.02
encomia,13,0.02
half_title,13,0.02
passus,13,0.02
abbot,13,0.02
testament,13,0.02
doctrine,13,0.02
excerpt_from_play,13,0.02
testimony,12,0.02
psalms,12,0.02
work,12,0.02
item,12,0.02
festival,12,0.02
melos,12,0.02
house,12,0.02
proem,12,0.02
quotation,12,0.02
note,12,0.02
comparison,12,0.02
madrigal,12,0.02
instructions,12,0.02
see,11,0.01
place,11,0.01
dream_poem,11,0.01
sonnets,11,0.01
legend,11,0.01
translator,11,0.01
prose,11,0.01
summary,11,0.01
rite,10,0.01
poem__ode_,10,0.01
observation,10,0.01
decade,10,0.01
bass,10,0.01
complaint,9,0.01
stage_of_sin,9,0.01
translated_poem,9,0.01
assertion,9,0.01
abstract,9,0.01
printer_to_the_reader,9,0.01
henry,9,0.01
novel,9,0.01
worthy,9,0.01
muse,9,0.01
oracle,8,0.01
case,8,0.01
sovereign,8,0.01
couplet,8,0.01
acrostic_epitaph,8,0.01
office,8,0.01
division,8,0.01
bull,8,0.01
anthem,8,0.01
gloss,8,0.01
pageant,8,0.01
interlude,8,0.01
protestant_answer,8,0.01
strain,7,0.01
morning_prayers,7,0.01
planet,7,0.01
problem,7,0.01
query,7,0.01
argument_and_objection,7,0.01
aphorism,7,0.01
explication,7,0.01
publisher_to_the_reader,7,0.01
poetic_dialogue,7,0.01
eclogues,7,0.01
dump,7,0.01
papist_speech,7,0.01
holy_day,7,0.01
narrative,7,0.01
history_of_century,7,0.01
introductory_poem,7,0.01
explanation_of_frontispiece,7,0.01
memento,7,0.01
elegies,7,0.01
exercitation,7,0.01
daily_meditation,7,0.01
concrete_poem,6,0.01
body_of_poem,6,0.01
commendation,6,0.01
bishop,6,0.01
afterword,6,0.01
invocation,6,0.01
to_the_translator,6,0.01
speech_group,6,0.01
section__order_of_kings_,6,0.01
evening_prayers,6,0.01
motive,6,0.01
prevarication,6,0.01
meditations,6,0.01
pastoral,6,0.01
paraphrase,6,0.01
verse_dialogue,5,0.01
reign,5,0.01
description,5,0.01
argument_and_objections,5,0.01
,5,0.01
chronology,5,0.01
reflections,5,0.01
position,5,0.01
monarchy,5,0.01
ruler,5,0.01
quotations,5,0.01
songs,5,0.01
objection,5,0.01
engraved_title_page,5,0.01
body_of_book,5,0.01
conference,5,0.01
gospel,5,0.01
devotion,5,0.01
manhood,5,0.01
wish,5,0.01
regnal_history,5,0.01
memorial,5,0.01
lesson,5,0.01
epimythium,5,0.01
lustrum,5,0.01
canon,5,0.01
critique_of_act,5,0.01
lottery,5,0.01
show,5,0.01
prophet,5,0.01
contemplation,5,0.01
advice,5,0.01
charm,5,0.01
rule,5,0.01
response_to_chapter,5,0.01
paradox,5,0.01
answer_to_argument,5,0.01
to_the_book,5,0.01
plant,4,0.01
devotions,4,0.01
corollary,4,0.01
age_of_the_world,4,0.01
obituary,4,0.01
riddle,4,0.01
considerations,4,0.01
biblical_exegesis,4,0.01
wedding_poem,4,0.01
animadversions,4,0.01
statement,4,0.01
season,4,0.01
life_of_emperor,4,0.01
report,4,0.01
subject,4,0.01
threnody,4,0.01
entr,4,0.01
emblem_verses,4,0.01
stave,4,0.01
prophecies,4,0.01
correspondence,4,0.01
hymns,4,0.01
glossary,4,0.01
dramatis_personae,4,0.01
litany,4,0.01
verse_prologue,4,0.01
book_to_the_reader,4,0.01
proceedings,4,0.01
scene_proper,4,0.01
epic_poem,4,0.01
head,4,0.01
prolusion_and_emblem,4,0.01
examples,4,0.01
prefatory_letter,4,0.01
psalm_119_annotated,4,0.01
age,4,0.01
catechism,4,0.01
capital_defect,4,0.01
evidence,4,0.01
anagram_themed_poem,4,0.01
inset_narrative,4,0.01
exhortation,3,0.0
speeches,3,0.0
title,3,0.0
entertainment,3,0.0
digression,3,0.0
queen,3,0.0
declaration,3,0.0
branch,3,0.0
questions,3,0.0
epitaphs,3,0.0
catalogue_of_bishops,3,0.0
account_of_dream,3,0.0
principle,3,0.0
translator_to_author,3,0.0
point_of_doctrine,3,0.0
controversy,3,0.0
action,3,0.0
induction,3,0.0
maxims,3,0.0
supplement,3,0.0
dynasty,3,0.0
presentation,3,0.0
kingdom,3,0.0
precept,3,0.0
antimasque,3,0.0
answer_to_chapter,3,0.0
thanksgiving,3,0.0
point,3,0.0
additions,3,0.0
preamble,3,0.0
metrical_canticle,3,0.0
body_of_essay,3,0.0
reflection,3,0.0
liturgy,3,0.0
letters,3,0.0
canticle,3,0.0
doxology,3,0.0
verse_and_commentary,3,0.0
occasional_meditation,3,0.0
prelection,3,0.0
ground,3,0.0
canzone,3,0.0
sonnet_to_the_reader,3,0.0
exercise,3,0.0
creed,3,0.0
confession,3,0.0
antistrophe,3,0.0
play_proper,3,0.0
endnotes,3,0.0
addition,3,0.0
body_of_part,3,0.0
complement,3,0.0
body_of_sermon,3,0.0
consideration,3,0.0
sin,3,0.0
reply_to_chapter,3,0.0
christmas_carol,3,0.0
pamphlet,3,0.0
mnemonic_poem,3,0.0
front_matter,3,0.0
endorsement,3,0.0
medal,3,0.0
preface_to_the_reader,3,0.0
biographical_sketch,3,0.0
strophe,3,0.0
citation,2,0.0
proverbs,2,0.0
rounds_or_catches,2,0.0
disputation,2,0.0
reply_to_reply,2,0.0
triumph,2,0.0
order,2,0.0
popish_error,2,0.0
skit,2,0.0
charge,2,0.0
distance,2,0.0
animadversion,2,0.0
dedicatory_poems,2,0.0
commandments,2,0.0
duply,2,0.0
acrostic_dedicatory_poem,2,0.0
citations,2,0.0
concluding_poem,2,0.0
corollaries,2,0.0
poem__epigram_,2,0.0
tales,2,0.0
interpreter_to_the_reader,2,0.0
satirical_poem,2,0.0
to_book,2,0.0
version_of_poem,2,0.0
graphic_novel,2,0.0
principles,2,0.0
mate,2,0.0
sermons,2,0.0
uses,2,0.0
error,2,0.0
queries,2,0.0
apparatus,2,0.0
remarks,2,0.0
description_of_monuments,2,0.0
conclusions,2,0.0
body,2,0.0
license,2,0.0
homiletic_tract,2,0.0
trial,2,0.0
arraignment,2,0.0
annals,2,0.0
period,2,0.0
epigraphs,2,0.0
historical_account,2,0.0
letter_to_author,2,0.0
objections_answered,2,0.0
acrostic_elegy,2,0.0
genealogical_proofs,2,0.0
author_to_friends,2,0.0
member,2,0.0
anagrams,2,0.0
cantoes,2,0.0
excerpt,2,0.0
reading,2,0.0
verdict,2,0.0
syllogism,2,0.0
sequence,2,0.0
allegorical_poem,2,0.0
oath,2,0.0
prologue_to_court,2,0.0
eulogy,2,0.0
contents_in_verse,2,0.0
extract_from_book,2,0.0
poem_and_response,2,0.0
part_of_proof,2,0.0
about_the_author,2,0.0
profession,2,0.0
moral_virtue,2,0.0
rules,2,0.0
publisher,2,0.0
original,2,0.0
metrical_psalm,2,0.0
blessing,2,0.0
poem_to_author,2,0.0
recitative,2,0.0
answer_to_dedication,2,0.0
air,2,0.0
verse_prayer,2,0.0
author_to_his_book,2,0.0
notice,2,0.0
parable,2,0.0
stanza,2,0.0
anagram_and_acrostic,2,0.0
body_of_play,2,0.0
transactions,2,0.0
invocation_poem,2,0.0
proem_poem,2,0.0
judgment,2,0.0
explanation_of_figure,2,0.0
conversation,2,0.0
order_for_prayer,2,0.0
acrostic_poem_to_the_reader,2,0.0
poem_on_frontispiece,2,0.0
symbol,2,0.0
grammar,2,0.0
biblical_commentary,2,0.0
moral,2,0.0
duke_of_venice,2,0.0
