subject_heading,frequency
"Sermons, English --  17th century.",970
Christian life --  Early works to 1800.,296
Catholic Church --  Controversial literature --  Early works to 1800.,261
Catholic Church --  Controversial literature.,223
"Great Britain --  History --  Civil War, 1642-1649 --  Early works to 1800.",167
Funeral sermons.,133
"Great Britain --  History --  Commonwealth and Protectorate, 1649-1660 --  Early works to 1800.",121
Conduct of life --  Early works to 1800.,107
"Great Britain --  History --  Charles II, 1660-1685.",87
Christian life.,80
"Charles --  I, --  King of England, 1600-1649.",75
"Great Britain --  History --  Civil War, 1642-1649.",71
"Dissenters, Religious --  England.",70
"Popish Plot, 1678.",70
Great Britain --  Politics and government --  1642-1649 --  Early works to 1800.,66
Church of England --  Sermons.,65
"Theology, Doctrinal.",62
"Charles --  II, --  King of England, 1630-1685.",62
"Sermons, English.",61
Prophecies --  Early works to 1800.,60
"Theology, Doctrinal --  Early works to 1800.",59
Great Britain --  Politics and government --  1649-1660 --  Early works to 1800.,56
"Political satire, English --  Early works to 1800.",55
"Charles --  I, --  King of England, 1600-1649 --  Early works to 1800.",55
"Great Britain --  History --  Charles I, 1625-1649.",54
"Sermons, English --  16th century.",53
Meditations --  Early works to 1800.,49
Conduct of life --  Early works to 1900.,48
Political science --  Early works to 1800.,48
Devotional literature --  Early works to 1800.,47
Society of Friends --  Controversial literature.,47
Meditations.,43
"Great Britain --  History --  Charles II, 1660-1685 --  Early works to 1800.",43
England and Wales. --  Parliament --  Early works to 1800.,43
"Political satire, English --  17th century.",42
Great Britain --  Politics and government --  1660-1688.,41
Church and state --  England.,41
Salvation --  Early works to 1800.,40
"Satire, English --  Early works to 1800.",40
Funeral sermons --  17th century.,38
Great Britain --  Church history --  17th century --  Early works to 1800.,38
Church of England --  Controversial literature.,38
Great Britain --  Church history --  17th century.,38
Marriage --  Early works to 1800.,36
Sin --  Early works to 1800.,36
Prayers --  Early works to 1800.,36
Women --  Early works to 1800.,35
Devotional literature.,35
"Charles --  II, --  King of England, 1630-1685 --  Early works to 1800.",35
Apologetics --  Early works to 1800.,34
"Great Britain --  History --  William and Mary, 1689-1702.",34
Lord's Supper --  Early works to 1800.,33
Society of Friends --  Apologetic works.,33
"Great Britain --  History --  Commonwealth and Protectorate, 1649-1660.",33
Repentance --  Early works to 1800.,32
England and Wales. --  Parliament.,32
Conduct of life.,32
Fast-day sermons --  17th century.,32
"Bible. --  O.T. --  Psalms --  Paraphrases, English.",31
Catholic Church --  Apologetic works.,31
Church and state --  England --  Early works to 1800.,31
Astronomy --  Early works to 1800.,30
"James --  II, --  King of England, 1633-1701.",30
"Great Britain --  History --  Charles I, 1625-1649 --  Early works to 1800.",30
Catholic Church --  Doctrines --  Early works to 1800.,29
Military art and science --  Early works to 1800.,29
Prayer --  Early works to 1800.,29
Funeral sermons --  Early works to 1800.,29
Church of England --  Apologetic works.,29
Society of Friends --  Doctrines.,29
Prophecies.,29
Christian literature --  Early works to 1800.,29
"Catechisms, English --  Early works to 1800.",28
University of Cambridge.,28
Theology --  Early works to 1800.,28
Faith --  Early works to 1800.,28
Church of England --  Doctrines.,27
Alchemy --  Early works to 1800.,26
Church of England --  Controversial literature --  Early works to 1800.,26
Quakers --  Early works to 1800.,26
Church of England --  Government.,26
Soul --  Early works to 1800.,25
London (England) --  History --  17th century.,25
Anti-Catholicism --  England.,25
"Great Britain --  History --  Puritan Revolution, 1642-1660.",25
"James --  I, --  King of England, 1566-1625.",24
Science --  Early works to 1800.,24
"Hymns, English --  Early works to 1800.",24
"Dissenters, Religious --  England --  Early works to 1800.",24
Great Britain --  Politics and government --  1689-1702.,24
Great Britain --  Religion --  17th century.,24
"Satire, English --  17th century.",24
Man-woman relationships --  Early works to 1800.,24
Death --  Early works to 1800.,23
Salvation.,23
"Cromwell, Oliver, 1599-1658.",23
Church polity --  Early works to 1800.,23
London (England) --  History --  17th century --  Early works to 1800.,22
Consolation --  Early works to 1800.,22
Devotional exercises --  Early works to 1800.,22
Divine right of kings.,22
Hygiene --  Early works to 1800.,21
Episcopacy --  Early works to 1800.,21
Logic --  Early works to 1800.,21
Ephemerides.,21
Psalters.,21
"Shaftesbury, Anthony Ashley Cooper, --  Earl of, 1621-1683.",21
Soul.,21
"William --  III, --  King of England, 1650-1702.",21
Presbyterianism --  Controversial literature --  Early works to 1800.,21
Church of England --  Liturgy.,21
Conscience --  Early works to 1800.,20
Great Britain --  Politics and government --  1642-1649.,20
Apologetics --  History --  17th century.,20
Catholic Church --  Apologetic works --  Early works to 1800.,20
England and Wales. --  Army --  Early works to 1800.,20
Ethics --  Early works to 1800.,19
Lord's prayer --  Early works to 1800.,19
Prayers.,19
Church of England --  Customs and practices --  Early works to 1800.,19
Church of England --  Clergy.,19
Catholics --  England --  Early works to 1800.,19
Christianity --  Early works to 1800.,19
Infant baptism --  Early works to 1800.,19
Catholic Church --  Doctrines.,19
Church and state --  Great Britain.,19
Kings and rulers --  Duties --  Early works to 1800.,18
Jesuits --  Controversial literature --  Early works to 1800.,18
"Elizabeth --  I, --  Queen of England, 1533-1603.",18
Predestination --  Early works to 1800.,18
Justification --  Early works to 1800.,18
"Great Britain --  History --  Restoration, 1660-1688.",18
Great Britain --  History.,18
Anti-Catholicism.,18
Trinity --  Early works to 1800.,18
Church and state --  Early works to 1800.,17
Education --  Early works to 1800.,17
Great Britain --  Kings and rulers.,17
Providence and government of God --  Early works to 1800.,17
Conversion --  Early works to 1800.,17
Devotional exercises.,17
"Great Britain --  History --  Stuarts, 1603-1714.",17
Baptism --  Early works to 1800.,17
World history --  Early works to 1800.,17
"Theology, Practical.",17
Church of England.,17
Divine right of kings --  Early works to 1800.,17
"Bible --  Criticism, interpretation, etc.",17
Protestantism --  Controversial literature --  Early works to 1800.,16
Love --  Early works to 1800.,16
"Great Britain --  History --  Elizabeth, 1558-1603 --  Early works to 1800.",16
Anti-Catholicism --  England --  Early works to 1800.,16
Spiritual life --  Early works to 1800.,16
Providence and government of God.,16
Religion --  Early works to 1800.,16
"Oates, Titus, 1649-1705.",16
"L'Estrange, Roger, --  Sir, 1616-1704.",16
"Sermons, English --  Early works to 1800.",16
Great Britain --  History --  Prophecies --  Early works to 1800.,16
"Cromwell, Oliver, 1599-1658 --  Early works to 1800.",16
Presbyterianism --  Early works to 1800.,16
Masques --  Early works to 1800.,16
"Laud, William, 1573-1645.",15
Political ethics --  Early works to 1800.,15
Catholics --  England --  Controversial literature --  Early works to 1800.,15
Sabbath --  Early works to 1800.,15
Levellers --  Early works to 1800.,15
Plague --  Early works to 1800.,15
Society of Friends --  Controversial literature --  Early works to 1800.,15
"Popish Plot, 1678 --  Early works to 1800.",15
Witchcraft --  Early works to 1800.,15
Alchemy.,15
Creation --  Early works to 1800.,15
Church of England --  Government --  Early works to 1800.,15
Great Britain --  Kings and rulers --  Succession.,15
Presbyterianism.,15
Courts and courtiers --  Early works to 1800.,14
Bible --  Commentaries --  Early works to 1800.,14
Natural history --  Pre-Linnean works.,14
Jesuits --  Controversial literature.,14
Theology --  History --  17th century.,14
"Great Britain --  History --  Charles I, 1625-1649 --  Sources.",14
Society of Friends --  England.,14
Christian ethics --  Early works to 1800.,14
Great Britain --  Politics and government --  1649-1660.,14
Church of England --  Doctrines --  Early works to 1800.,14
Great Britain --  History --  Early works to 1800.,14
Grace (Theology) --  Early works to 1800.,14
Church of England. --  Book of common prayer.,14
Devil --  Early works to 1800.,14
Great Britain --  History --  To 1485 --  Early works to 1800.,13
Great Britain --  Commerce --  Early works to 1800.,13
